2023PassengerRank;AirportCode;AirportName;CityName;StateName;AverageFareDolar;InflationAdjustedAverageFareDolarBaseQuarterQ22024;2023Passengers10Sample;Quarter;Year
1;LAX;Los Angeles International;Los Angeles;CA;389,46;406,71;1.253.716; QUARTER 01 ;2023
2;ORD;Chicago O'Hare International;Chicago-O'Hare;IL;394,33;411,79;1.032.358; QUARTER 01 ;2023
3;DEN;Denver International;Denver;CO;336,93;351,86;995.251; QUARTER 01 ;2023
4;ATL;Hartsfield-Jackson Atlanta International;Atlanta;GA;406,23;424,22;981.435; QUARTER 01 ;2023
5;EWR;Newark Liberty International;Newark;NJ;400,49;418,23;930.056; QUARTER 01 ;2023
6;BOS;Logan International;Boston;MA;382,11;399,04;920.214; QUARTER 01 ;2023
7;SEA;Seattle/Tacoma International;Seattle;WA;378,83;395,61;861.535; QUARTER 01 ;2023
8;DFW;Dallas/Fort Worth International;Dallas-DFW;TX;430,12;449,18;836.341; QUARTER 01 ;2023
9;MCO;Orlando International;Orlando;FL;274,08;286,22;828.554; QUARTER 01 ;2023
10;SFO;San Francisco International;San Francisco;CA;422,84;441,56;811.808; QUARTER 01 ;2023
11;PHX;Phoenix Sky Harbor International;Phoenix;AZ;365,34;381,52;793.797; QUARTER 01 ;2023
12;LGA;LaGuardia;New York-La Guardia;NY;325,76;340,19;730.774; QUARTER 01 ;2023
13;JFK;John F. Kennedy International;New York-JFK;NY;424,33;443,13;715.113; QUARTER 01 ;2023
14;LAS;Harry Reid International;Las Vegas;NV;269,92;281,87;672.945; QUARTER 01 ;2023
15;MSP;Minneapolis-St Paul International;Minneapolis;MN;455,65;475,84;612.265; QUARTER 01 ;2023
16;IAH;George Bush Intercontinental/Houston;Houston-Intercontinental;TX;402,55;420,38;591.987; QUARTER 01 ;2023
17;PHL;Philadelphia International;Philadelphia;PA;406,34;424,34;581.785; QUARTER 01 ;2023
18;FLL;Fort Lauderdale-Hollywood International;Fort Lauderdale;FL;288,53;301,31;569.566; QUARTER 01 ;2023
19;SAN;San Diego International;San Diego;CA;359,08;374,98;566.704; QUARTER 01 ;2023
20;DTW;Detroit Metro Wayne County;Detroit;MI;447,64;467,47;544.649; QUARTER 01 ;2023
21;DCA;Ronald Reagan Washington National;Washington-Reagan National;DC;391,48;408,82;516.012; QUARTER 01 ;2023
22;TPA;Tampa International;Tampa;FL;330,52;345,16;505.498; QUARTER 01 ;2023
23;BWI;Baltimore/Washington International Thurgood Marshall;Baltimore;MD;352,31;367,91;471.540; QUARTER 01 ;2023
24;AUS;Austin - Bergstrom International;Austin;TX;365,06;381,23;468.640; QUARTER 01 ;2023
25;MIA;Miami International;Miami;FL;368,31;384,62;465.197; QUARTER 01 ;2023
26;PDX;Portland International;Portland;OR;397,43;415,03;423.065; QUARTER 01 ;2023
27;BNA;Nashville International;Nashville;TN;342,43;357,6;415.942; QUARTER 01 ;2023
28;CLT;Charlotte Douglas International;Charlotte;NC;453,89;474;406.215; QUARTER 01 ;2023
29;SLC;Salt Lake City International;Salt Lake City;UT;448,55;468,41;404.065; QUARTER 01 ;2023
30;RDU;Raleigh-Durham International;Raleigh/Durham;NC;372;388,48;377.142; QUARTER 01 ;2023
31;SMF;Sacramento International;Sacramento;CA;357,65;373,49;346.768; QUARTER 01 ;2023
32;HNL;Daniel K Inouye International;Honolulu;HI;328,43;342,97;343.489; QUARTER 01 ;2023
